"Id","Title","EIC Programme"
"H2020_FETPROACT-EIC-08-2020","Environmental Intelligence","FET programme"
"H2020_FTIPilot-01-2016","Fast Track to Innovation Pilot","Fast Track to Innovation"
"H2020_FTIPilot-1-2015","Fast Track to Innovation Pilot","Fast Track to Innovation"
"H2020_H2020-EIC-SMEInst-2020-4","H2020-EIC Accelerator pilot â€“SME Instrument - Green Deal","EIC Accelerator"
"H2020_ICT-37-2014","Open Disruptive Innovation Scheme (implemented through the SME instrument)","SME Instrument"
"H2020_ICT-37-2014-1","Open Disruptive Innovation Scheme (implemented through the SME instrument)","SME Instrument"
"H2020_ICT-37-2015","Open Disruptive Innovation Scheme (implemented through the SME instrument)","SME Instrument"
"H2020_ICT-37-2015-1","Open Disruptive Innovation Scheme (implemented through the SME instrument)","SME Instrument"
"H2020_INSO-10-2015","SME business model innovation","SME Instrument"
"H2020_INSO-10-2015-1","SME business model innovation","SME Instrument"
"H2020_INSO-9-2015","Innovative mobile e-government applications by SMEs","SME Instrument"
"H2020_INSO-9-2015-1","Innovative mobile e-government applications by SMEs","SME Instrument"
"H2020_IT-1-2014","Small business innovation research for Transport","SME Instrument"
"H2020_IT-1-2014-1","Small business innovation research for Transport","SME Instrument"
"H2020_IT-1-2015","Small business innovation research for Transport","SME Instrument"
"H2020_IT-1-2015-1","Small business innovation research for Transport","SME Instrument"
"H2020_NMP-25-2014","Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs","SME Instrument"
"H2020_NMP-25-2014-1","Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs","SME Instrument"
"H2020_NMP-25-2015","Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs","SME Instrument"
"H2020_NMP-25-2015-1","Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs","SME Instrument"
"H2020_PHC-12-2014","Clinical research for the validation of biomarkers and/or diagnostic medical devices","SME Instrument"
"H2020_PHC-12-2014-1","Clinical research for the validation of biomarkers and/or diagnostic medical devices","SME Instrument"
"H2020_PHC-12-2015","Clinical research for the validation of biomarkers and/or diagnostic medical devices","SME Instrument"
"H2020_PHC-12-2015-1","Clinical research for the validation of biomarkers and/or diagnostic medical devices","SME Instrument"
"H2020_SC5-20-2014","Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials","SME Instrument"
"H2020_SC5-20-2014-1","Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials","SME Instrument"
"H2020_SC5-20-2015","Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials","SME Instrument"
"H2020_SC5-20-2015-1","Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials","SME Instrument"
"H2020_SFS-08-2014","Resource-efficient eco-innovative food production and processing","SME Instrument"
"H2020_SFS-08-2014-1","Resource-efficient eco-innovative food production and processing","SME Instrument"
"H2020_SFS-08-2015","Resource-efficient eco-innovative food production and processing","SME Instrument"
"H2020_SFS-08-2015-1","Resource-efficient eco-innovative food production and processing","SME Instrument"
"H2020_SIE-01-2014","Stimulating the innovation potential of SMEs for a low carbon energy system","SME Instrument"
"H2020_SIE-01-2014-1","Stimulating the innovation potential of SMEs for a low carbon energy system","SME Instrument"
"H2020_SIE-01-2015","Stimulating the innovation potential of SMEs for a low carbon energy system","SME Instrument"
"H2020_SIE-01-2015-1","Stimulating the innovation potential of SMEs for a low carbon energy system","SME Instrument"
"H2020_SMEInst-01-2016-2017","Open Disruptive Innovation Scheme","SME Instrument"
"H2020_SMEInst-02-2016-2017","Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs","SME Instrument"
"H2020_SMEInst-03-2016-2017","Dedicated support to biotechnology SMEs closing the gap from lab to market","SME Instrument"
"H2020_SMEInst-04-2016-2017","Engaging SMEs in space research and development","SME Instrument"
"H2020_SMEInst-05-2016-2017","Supporting innovative SMEs in the healthcare biotechnology sector","SME Instrument"
"H2020_SMEInst-06-2016-2017","Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well","SME Instrument"
"H2020_SMEInst-07-2016-2017","Stimulating the innovation potential of SMEs for sustainable and competitive agriculture, forestry, agri-food and bio-based sectors","SME Instrument"
"H2020_SMEInst-08-2016-2017","Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth","SME Instrument"
"H2020_SMEInst-09-2016-2017","Stimulating the innovation potential of SMEs for a low carbon and efficient energy system","SME Instrument"
"H2020_SMEInst-10-2016-2017","Small business innovation research for Transport and Smart Cities Mobility","SME Instrument"
"H2020_SMEInst-11-2016-2017","Boosting the potential of small businesses in the areas of climate action, environment, resource efficiency and raw materials","SME Instrument"
"H2020_SMEInst-12-2016-2017","New business models for inclusive, innovative and reflective societies","SME Instrument"
"H2020_SMEInst-13-2016-2017","Engaging SMEs in security research and development","SME Instrument"
"H2020_Space-SME-2014-1","SME Instrument","SME Instrument"
"H2020_Space-SME-2015-1","SME Instrument","SME Instrument"
"H2020_Space-SME-2015-2","SME Instrument","SME Instrument"
"HORIZON_HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01","Strategic Digital and Health Technologies","EIC Accelerator"
"HORIZON_HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02","Green Deal innovations for the Economic Recovery","EIC Accelerator"
"HORIZON_HORIZON-EIC-2021-ACCELERATOROPEN-01","EIC Accelerator Open 2021","EIC Accelerator"
"HORIZON_HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-01","Awareness Inside","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02","Tools to measure and stimulate activity in Brain Tissue","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-03","Emerging Technologies in Cell and Gene therapy","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04","Novel routes to green hydrogen production","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-05","Engineered Living Materials","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2021-PATHFINDEROPEN-01-01","EIC Pathfinder Open 2021","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-01","Medical Technology and Devices: from Lab to Patient","EIC Transition"
"HORIZON_HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-02","Energy Harvesting and Storage Technologies","EIC Transition"
"HORIZON_HORIZON-EIC-2021-TRANSITIONOPEN-01","EIC Transition Open 2021","EIC Transition"
"HORIZON_HORIZON-EIC-2022-ACCELERATORCHALLENGES-01","EIC Accelerator Challenge: Technologies for Open Strategic Autonomy","EIC Accelerator"
"HORIZON_HORIZON-EIC-2022-ACCELERATORCHALLENGES-02","EIC Accelerator Challenge: Technologies for â€˜Fit for 55â€™","EIC Accelerator"
"HORIZON_HORIZON-EIC-2022-ACCELERATOROPEN-01","EIC Accelerator Open","EIC Accelerator"
"HORIZON_HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-01","EIC Pathfinder Challenge: Carbon dioxide and Nitrogen management and valorisation","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-02","EIC Pathfinder Challenge: Mid to long term and systems integrated energy storage","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-03","EIC Pathfinder Challenge: Cardiogenomics","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-04","EIC Pathfinder Challenge: Towards the Healthcare Continuum: technologies to support a radical shift from episodic to continuous healthcare","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-05","EIC Pathfinder Challenge: DNA-based digital data storage","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-06","EIC Pathfinder Challenge: Alternative approaches to Quantum Information Processing, Communication, and Sensing","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-PATHFINDEROPEN-01-01","EIC Pathfinder Open 2022","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2022-TRANSITIONCHALLENGES-01","EIC Transition Challenge: Green digital devices for the future","EIC Transition"
"HORIZON_HORIZON-EIC-2022-TRANSITIONOPEN-01","EIC Transition Open 2022","EIC Transition"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-01","EIC Accelerator Challenge: Novel biomarker-based assays to guide personalised cancer treatment","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-02","EIC Accelerator Challenge: Aerosol and surface decontamination for pandemic management","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-03","EIC Accelerator Challenge: Energy storage","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-04","EIC Accelerator Challenge: New European Bauhaus and Architecture, Engineering and Construction digitalisation for decarbonisation","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-05","EIC Accelerator Challenge: Emerging semiconductor or quantum technology components","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-06","EIC Accelerator Challenge: Novel technologies for resilient agriculture","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATORCHALLENGES-07","EIC Accelerator Challenge: Customer-driven, innovative space technologies and services","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-ACCELERATOROPEN-01","EIC Accelerator Open 2023","EIC Accelerator"
"HORIZON_HORIZON-EIC-2023-PATHFINDERCHALLENGES-01-01","EIC Pathfinder Challenge: Clean and efficient cooling","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2023-PATHFINDERCHALLENGES-01-02","EIC Pathfinder Challenge: AEC digitalisation for a new triad of design, fabrication, and materials","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2023-PATHFINDERCHALLENGES-01-03","EIC Pathfinder Challenge: Precision Nutrition","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2023-PATHFINDERCHALLENGES-01-04","EIC Pathfinder Challenge: Responsible Electronics","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2023-PATHFINDERCHALLENGES-01-05","EIC Pathfinder Challenge: In-space solar energy harvesting for innovative space applications","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2023-PATHFINDEROPEN-01-01","EIC Pathfinder Open","EIC Pathfinder"
"HORIZON_HORIZON-EIC-2023-TRANSITIONCHALLENGES-01","EIC Transition Challenge: Full scale Micro-Nano-Bio devices for medical and medical research applications","EIC Transition"
"HORIZON_HORIZON-EIC-2023-TRANSITIONCHALLENGES-03","EIC Transition Challenge: Chip-scale optical frequency combs","EIC Transition"
"HORIZON_HORIZON-EIC-2023-TRANSITIONOPEN-01","Transition Open 2023","EIC Transition"
"HORIZON_HORIZON-EIC-2024-ACCELERATORCHALLENGES-06","Renewable energy sources and their whole value chain including materials development and recycling of components","EIC Accelerator"
"HORIZON_HORIZON-EIC-2024-ACCELERATOROPEN-01","EIC Accelerator Open 2024","EIC Accelerator"
"HORIZON_HORIZON-EIC-2024-PATHFINDEROPEN-01-01","EIC Pathfinder Open","EIC Pathfinder"
"HORIZON_HORIZON-EIE-2021-SCALEUP-01-03","Women TechEU","Women TechEU"
"HORIZON_HORIZON-EIE-2022-SCALEUP-02-02","Women TechEU","Women TechEU"
